Date,Demographic_category,Administered_Dose1,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,census
2021-07-19,Ages_75+_yrs,18606686,16577883,86.8,77.3,21438732
2021-07-18,Ages_75+_yrs,18600488,16571889,86.8,77.3,21438732
2021-07-17,Ages_75+_yrs,18592486,16564284,86.7,77.3,21438732
2021-07-16,Ages_75+_yrs,18579377,16549894,86.7,77.2,21438732
2021-07-15,Ages_75+_yrs,18569489,16540394,86.6,77.2,21438732
2021-07-14,Ages_75+_yrs,18559235,16530847,86.6,77.1,21438732
2021-07-13,Ages_75+_yrs,18545530,16491979,86.5,76.9,21438732
2021-07-12,Ages_75+_yrs,18541951,16488245,86.5,76.9,21438732
2021-07-11,Ages_75+_yrs,18536872,16483039,86.5,76.9,21438732
2021-07-10,Ages_75+_yrs,18526508,16473098,86.4,76.8,21438732
2021-07-09,Ages_75+_yrs,18515392,16461714,86.4,76.8,21438732
2021-07-08,Ages_75+_yrs,18504246,16448069,86.3,76.7,21438732
2021-07-07,Ages_75+_yrs,18491866,16435808,86.3,76.7,21438732
2021-07-06,Ages_75+_yrs,18486145,16424457,86.2,76.6,21438732
2021-07-05,Ages_75+_yrs,18483683,16421971,86.2,76.6,21438732
2021-07-04,Ages_75+_yrs,18478355,16416672,86.2,76.6,21438732
2021-07-03,Ages_75+_yrs,18468395,16406810,86.1,76.5,21438732
2021-07-02,Ages_75+_yrs,18445540,16372314,86,76.4,21438732
2021-07-01,Ages_75+_yrs,18435021,16359208,86,76.3,21438732
2021-06-30,Ages_75+_yrs,18370827,16285109,85.7,76,21438732
2021-06-29,Ages_75+_yrs,18321610,16241844,85.5,75.8,21438732
2021-06-28,Ages_75+_yrs,18312783,16229037,85.4,75.7,21438732
2021-06-27,Ages_75+_yrs,18304074,16209943,85.4,75.6,21438732
2021-06-26,Ages_75+_yrs,18288410,16184604,85.3,75.5,21438732
2021-06-25,Ages_75+_yrs,18274907,16168808,85.2,75.4,21438732
2021-06-24,Ages_75+_yrs,18279625,16162359,85.3,75.4,21438732
2021-06-23,Ages_75+_yrs,18266542,16144602,85.2,75.3,21438732
